Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
Title,Location,Price,Area,Number_of_Rooms,Furnished,Kitchen type,Status,Garden surface,Swimming Pool
House for sale,"K. Deswertlaan 59,","€305,000",2 bedrooms | 83 m² ,2 bedrooms,No,Installed,As new,2000 m² ,Yes
House for sale,Fabriekstraat 42,"€392,110",3 bedrooms | 160 m² ,3 bedrooms,No,Hyper equipped,As new,34 m² ,Yes
House for sale,Baeckelmansstraat 56,"€394,400",3 bedrooms | 182 m² ,3 bedrooms,No,Hyper equipped,As new,34 m² ,Yes
Villa for sale,Brakelsesteenweg 567,"€431,816",3 bedrooms | 238 m² ,3 bedrooms,No,Hyper equipped,As new,34 m² ,Yes
House for sale,Honsemsestraat 19/A,"€440,000",5 bedrooms | 212 m² ,5 bedrooms,No,Hyper equipped,As new,221 m² ,No
Villa for sale,Brakelsesteenweg 567,"€441,141",3 bedrooms | 224 m² ,3 bedrooms,No,Hyper equipped,As new,221 m² ,No
Villa for sale,Brakelsesteenweg 567,"€453,816",3 bedrooms | 238 m² ,3 bedrooms,No,Hyper equipped,As new,221 m² ,No
House for sale,2580 — Putte,"€529,000",3 bedrooms | 220 m² ,3 bedrooms,No,Installed,As new,221 m² ,No
Villa for sale,Koning Albertlaan 46 Box C,"€722,000",4 bedrooms,4 bedrooms,No,Hyper equipped,As new,221 m² ,No
Villa for sale,Koning Albertlaan 46 Box C,"€745,000",4 bedrooms,4 bedrooms,No,Hyper equipped,As new,221 m² ,No
House for sale,Graaf Jansdijk 195,"€895,000",3 bedrooms,3 bedrooms,No,Hyper equipped,As new,221 m² ,No
House for sale,Oosthoekplein 6,"€1,145",3 bedrooms | 204 m² ,3 bedrooms,No,Hyper equipped,As new,221 m² ,No
House for sale,"Walakker 4,2","€99,000",23 m² ,23 m² square meters livable space,No,Hyper equipped,Good,221 m² ,No
House for sale,Fietelstraat 18,"€260,000",3 bedrooms | 222 m² ,3 bedrooms,No,Hyper equipped,Good,221 m² ,No
House for sale,"Walakker 4,3","€299,000",23 m² ,23 m² square meters livable space,No,Hyper equipped,Good,221 m² ,No
Villa for sale,1933 — Sterrebeek,"€1,175",5 bedrooms | 480 m² ,5 bedrooms,No,Hyper equipped,Good,900 m² ,No
House for sale,Glazenstraat 23,"€250,000",3 bedrooms | 138 m² ,3 bedrooms,No,Hyper equipped,Good,900 m² ,No
House for sale,"Zuidstraat 4,","€253,740",3 bedrooms | 145 m² ,3 bedrooms,No,Hyper equipped,Good,900 m² ,No
House for sale,"Heirweg 187,","€260,000",3 bedrooms | 201 m² ,3 bedrooms,No,Installed,Good,900 m² ,No
House for sale,Sterrestraat 141,"€268,000",3 bedrooms,3 bedrooms,No,Installed,To renovate,900 m² ,No
House for sale,"Onderstraat 104,","€325,000",4 bedrooms | 180 m² ,4 bedrooms,No,Installed,To renovate,900 m² ,No
House for sale,Sasplein 6,"€368,000",3 bedrooms | 220 m² ,3 bedrooms,No,Installed,To renovate,900 m² ,No
House for sale,Nieuwstraat 36,"€394,000",5 bedrooms,5 bedrooms,No,Installed,To renovate,900 m² ,No
Mixed-use building for sale,1080 — Molenbeek-St-Jean,"€420,000",4 bedrooms | 298 m² ,4 bedrooms,No,Installed,To be done up,7 m² ,No
House for sale,"Coolsaetstraat 11,","€420,000",3 bedrooms,3 bedrooms,No,Installed,To be done up,7 m² ,No
Mansion for sale,Leon Spilliaertstraat 29,"€465,000",6 bedrooms | 502 m² ,6 bedrooms,No,Installed,To be done up,7 m² ,No
House for sale,Stooktstraat 119,"€149,000",2 bedrooms,2 bedrooms,No,Installed,To be done up,7 m² ,No
Villa for sale,1400 — Nivelles,"€350,000",4 bedrooms | 150 m² ,4 bedrooms,No,USA hyper equipped,As new,500 m² ,No
House for sale,a,"€435,000",6 bedrooms | 286 m² ,6 bedrooms,No,USA hyper equipped,As new,500 m² ,No
House for sale,Cité du Campiau 52,"€15,000",2 bedrooms | 100 m² ,2 bedrooms,No,USA hyper equipped,As new,500 m² ,No
Villa for sale,Oostmalsesteenweg 295,"€635,000",4 bedrooms | 326 m² ,4 bedrooms,No,USA hyper equipped,As new,900 m² ,No
Villa for sale,Laar 196,"€599,900",4 bedrooms | 165 m² ,4 bedrooms,No,USA hyper equipped,As new,751 m² ,No
Mansion for sale,1030 — Schaerbeek,"€729,000",8 bedrooms | 411 m² ,8 bedrooms,No,USA hyper equipped,Good,751 m² ,No
Apartment for sale,1370 — Jodoigne,"€150,000",1 bedroom | 68 m² ,1 bedroom,No,Hyper equipped,To be done up,751 m² ,No
Penthouse for sale,Kustlaan 111 Box 6/7,"€2,795",3 bedrooms | 226 m² ,3 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€6,230",3 bedrooms | 192 m² ,3 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€4,300",2 bedrooms | 142 m² ,2 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Town-house for sale,Hazegrasstraat,"€1,595",4 bedrooms,4 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
House for sale,7370 — Dour,"€140,000",3 bedrooms | 169 m² ,3 bedrooms,No,USA hyper equipped,To renovate,751 m² ,Yes
House for sale,6041 — Charleroi Gosselies,"€170,000",4 bedrooms | 180 m² ,4 bedrooms,No,USA hyper equipped,Good,250 m² ,No
House for sale,5523 — Sommière,"€250,000",4 bedrooms,4 bedrooms,No,USA hyper equipped,Good,250 m² ,No
House for sale,Brusselsestraat 64/A,"€109,000",2 bedrooms | 122 m² ,2 bedrooms,No,USA hyper equipped,Good,250 m² ,No
House for sale,Kloosterstraat 33,"€249,000",3 bedrooms,3 bedrooms,No,Installed,Just renovated,21 m² ,No
House for sale,"Watergangstraat 3,","€325,000",3 bedrooms | 114 m² ,3 bedrooms,No,USA installed,As new,21 m² ,No
Villa for sale,8310 — Sint-Kruis,"€1,285",5 bedrooms | 313 m² ,5 bedrooms,No,Hyper equipped,As new,21 m² ,No
House for sale,2610 — Antwerpen Wilrijk,"€529,000",3 bedrooms | 183 m² ,3 bedrooms,No,Hyper equipped,As new,45 m² ,No
Villa for sale,Pedestraat 50,"€845,000",5 bedrooms | 415 m² ,5 bedrooms,No,Hyper equipped,As new,6000 m² ,No
Exceptional property for sale,Rue Louis Mestrez 1,"€150,000",3 bedrooms,3 bedrooms,No,Hyper equipped,As new,6000 m² ,No
