Title,Location,Price,Area,Number_of_Rooms,Furnished,Kitchen type,Status,Garden surface,Swimming Pool
Villa for sale,6210 — Les Bons Villers,"€325,000",3 bedrooms | 138 m² ,3 bedrooms,No,USA hyper equipped,Just renovated,1000 m² ,No
Villa for sale,7540 — Tournai Kain,"€325,000",4 bedrooms | 150 m² ,4 bedrooms,No,Installed,As new,1000 m² ,No
House for sale,"Eernegemsestraat 107,","€325,000",2 bedrooms,2 bedrooms,No,Installed,Good,1000 m² ,No
House for sale,Steensedijk 571 Box 1,"€325,000",3 bedrooms | 136 m² ,3 bedrooms,No,Installed,As new,1000 m² ,No
House for sale,Nitterveldstraat lot 8 (lin,"€325,000",3 bedrooms | 144 m² ,3 bedrooms,No,Installed,As new,1000 m² ,No
House for sale,"Hendrik Baekelandlaan 15,","€329,000",2 bedrooms | 170 m² ,2 bedrooms,No,Installed,Good,1000 m² ,No
House for sale,Kastanjehof / Petegemplein 5/2,"€331,200",3 bedrooms | 145 m² ,3 bedrooms,No,Installed,Good,73 m² ,No
House for sale,Molenstraat 115,"€335,000",3 bedrooms,3 bedrooms,No,Installed,Just renovated,73 m² ,No
Exceptional property for sale,1400 — Nivelles,"€340,000",5 bedrooms | 180 m² ,5 bedrooms,No,USA semi equipped,To be done up,1400 m² ,No
House for sale,"Lorkenstraat 18,","€340,000",4 bedrooms | 134 m² ,4 bedrooms,No,Installed,Good,1400 m² ,No
House for sale,Kastanjehof / Petegemplein 5/1,"€340,400",3 bedrooms | 148 m² ,3 bedrooms,No,Installed,Good,64 m² ,No
House for sale,Kastanjehof / Petegemplein 5/3,"€340,400",3 bedrooms | 148 m² ,3 bedrooms,No,Installed,Good,164 m² ,No
House for sale,"Dorekensveld 42,","€345,000",3 bedrooms,3 bedrooms,No,Installed,Good,164 m² ,No
House for sale,1731 — Zellik,"€345,000",3 bedrooms | 196 m² ,3 bedrooms,No,Semi equipped,Good,40 m² ,No
House for sale,Mortselsesteenweg 38,"€349,000",5 bedrooms | 225 m² ,5 bedrooms,No,Semi equipped,Good,40 m² ,No
House for sale,9300 — Aalst,"€349,000",4 bedrooms | 413 m² ,4 bedrooms,No,Semi equipped,To be done up,40 m² ,No
House for sale,Poperinge -,"€349,560",3 bedrooms,3 bedrooms,No,Hyper equipped,As new,40 m² ,No
House for sale,Rue Valère Broekaert 54,"€350,000",4 bedrooms,4 bedrooms,No,Hyper equipped,As new,40 m² ,No
House for sale,Nieuwstraat 7,"€350,000",3 bedrooms | 170 m² ,3 bedrooms,No,Hyper equipped,As new,40 m² ,No
House for sale,De Loock 8,"€350,000",3 bedrooms | 145 m² ,3 bedrooms,No,Hyper equipped,As new,40 m² ,No
House for sale,1410 — Waterloo,"€355,000",2 bedrooms | 135 m² ,2 bedrooms,No,Not installed,To renovate,40 m² ,No
House for sale,"Denderdreve 72,","€358,000",3 bedrooms | 142 m² ,3 bedrooms,No,Not installed,Good,40 m² ,No
